Name of institution,Type of institution,Level,Country,State/Province,City,Website,Area of study,Programme,
Saint Mary's University,Public University,,Canada,Halifax,Nova Scotia,https://www.smu.ca/welcome.html,Bachelor's Degree ,"Business and Management,Computer Science and IT,Computer Science and IT,Computer Science and IT,Social Studies and Media,Business and Management,Humanities,Engineering,Business and Management,Social Studies and Media,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Humanities,Business and Management,Business and Management,Engineering,Social Studies and Media","Accounting,Computing and Information Systems,Computing Science,Computing Science and Business Administration,Criminology,Economics,English,Engineering,Entrepreneurship,Film Studies,Finance,General Business Studies,Global Business Management,Human Resource Management,International Development Studies,Linguistics,Management,Marketing,Mathematics,Sociology"
Simon Fraser University,Public University,,Canada,Burnaby,British Columbia,https://www.sfu.ca,Bachelor's Degree ,"Social Studies and Media,Business and Management,Business and Management,Computer Science and IT,Social Studies and Media,Social Studies and Media,Business and Management,Engineering,Humanities,Social Studies and Media,Health and Medicine,Humanities,Creative Arts and Design,Social Studies and Media,Business and Management,Engineering,Engineering,Engineering,Engineering,Social Studies and Media,Business and Management,Social Studies and Media,Social Studies and Media,Computer Science and IT,Computer Science and IT,Social Studies and Media,Creative Arts and Design,Business and Management,Business and Management,Creative Arts and Design,Computer Science and IT,Computer Science and IT,Humanities,Computer Science and IT,Computer Science and IT,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Business and Management,Engineering,Computer Science and IT,Social Studies and Media,Business and Management,Humanities,Social Studies and Media,Social Studies and Media,Business and Management,Business and Management,Business and Management,Creative Arts and Design,Health and Medicine,Business and Management,Business and Management,Business and Management,Social Studies and Media,Social Studies and Media,Social Studies and Media","Art, Performance and Cinema Studies,Business,Communication,Computing Science,Criminology,Dance,Economics,Engineering Science,English,Film,Health Sciences,Humanities,Interactive Arts and Technology,International Studies,Management and Systems Science,Mathematical Physics,Mathematics,Mechatronic Systems Engineering,Molecular Biology and Biochemistry,Music,Operations Research,Political Science,Sociology,Software Systems,Statistics,Theatre,Visual Art,Business and Communication,Business and Economics,Communication and Interactive Arts and Technology,Computing Science and Linguistics,Computing/Mathematics,English and Communication,Information Systems,Information Systems in Business Administration and Computing Science,Interactive Arts and Technology and Business ,Interactive Arts and Technology and Business ,Sociology and Communication,Sustainable Business,Mechatronics,Software Systems,Criminology,Economics,English,Political Science,Sociology,Entrepreneurship and Innovation,Finance,Marketing,Interactive Arts and Technology,Health Sciences ,Management and Systems Science,Operations Research,Communication,Dance ,Film,Visual Culture and Performance Studies"
St. Thomas University,Public University,,Canada,Fredericton,New Brunswick,http://w3.stu.ca/stu/,Bachelor's Degree ,"Social Studies and Media,Social Studies and Media,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Law,Business and Management,Social Studies and Media,Social Studies and Media","Communications and Public Policy,English Language and Literature,Fine Arts,Digital Journalism and New Media,Media Studies,Criminology and Criminal Justice,Economics,Sociology,International Relations"
University of Alberta,Public University,,Canada,Edmonton,Alberta,https://www.ualberta.ca,Bachelor's Degree ,"Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Business and Management,Business and Management,Social Studies and Media,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine","Agricultural and Resource Economics,Animal Science,Crop Science,Sustainable Agricultural Systems,Companion and Performance Animals,Food Animals,Agricultural Business Management,Food Business Management,Clothing, Textiles & Material Culture,Nutrition and Food Science General Program,Food Science and Technology Specialization,Dietetics Specialization,Food Science,Nutrition "
University of Calgary,Public University,,Canada,Calgary,Alberta,http://www.ucalgary.ca,Bachelor's Degree ,"Business and Management,Architecture and Construction,Computer Science and IT,Health and Medicine,Engineering,Health and Medicine,Engineering,Engineering,Computer Science and IT,Business and Management,Engineering,Personal Care and Fitness,Business and Management,Engineering,Health and Medicine,Architecture and Construction,Law,Engineering,Health and Medicine,Health and Medicine,Business and Management,Social Studies and Media,Social Studies and Media,Engineering,Business and Management,Agricultural and Veterinary Medicine","Accounting,Architecture,Bioinformatics,Biological Sciences,Biomechanics,Biomedical Sciences ,Chemical Engineering ,Civil Engineering ,Computer Science,Economics,Electrical Engineering ,Exercise and Health Physiology,Finance,Geomatics Engineering,Health and Society,Landscape Architecture,Law,Mechanical Engineering ,Medicine,Nursing,Real Estate,Social Work,Sociology,Software Engineering,Supply Chain Management,Veterinary Medicine"
University of Guelph,Public University,,Canada,Guelph,Ontario,https://www.uoguelph.ca,Bachelor's Degree ,"Business and Management,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Health and Medicine,Creative Arts and Design,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Engineering,Health and Medicine,Health and Medicine,Health and Medicine,Computer Science and IT,Computer Science and IT,Law,Business and Management,Engineering,Humanities,Business and Management,Business and Management,Social Studies and Media,Business and Management,Business and Management,Business and Management,Business and Management,Engineering,Social Studies and Media,Social Studies and Media,Business and Management,Business and Management,Social Studies and Media,Engineering,Creative Arts and Design","Accounting,Animal Biology,Animal Science,Applied Human Nutrition,Art History,Biochemistry,Biodiversity,Biological and Medical Physics,Biological and Pharmaceutical Chemistry,Biological Engineering,Biological Sciences,Biomedical Engineering ,Biomedical Sciences ,Computer Engineering ,Computer Science,Criminal Justice and Public Policy,Economics,Engineering Systems and Computing,English,Food, Agricultural and Resource Economics,Food and Agricultural Business,Food Science,International Development Studies,Leadership and Organizational Management,Management Economics and Finance,Marketing Management,Mechanical Engineering ,Music,Political Science,Public Management,Real Estate and Housing,Sociology,Software Engineering,Studio Arts"
University of Lethbridge,Public University,,Canada,Lethbridge,Alberta,http://www.uleth.ca,Bachelor's Degree ,"Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Creative Arts and Design,Health and Medicine,Computer Science and IT,Health and Medicine,Social Studies and Media,Business and Management,Engineering,Social Studies and Media,Social Studies and Media,Law,Health and Medicine,Social Studies and Media,Social Studies and Media,Agricultural and Veterinary Medicine,Creative Arts and Design,Computer Science and IT,Social Studies and Media,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Health and Medicine,Health and Medicine,Business and Management,Computer Science and IT,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Social Studies and Media","Agricultural Biotechnology,Agricultural Studies,Art,Biological Sciences,Computer Science and Geographical Information Science,Dentistry Pre-Professional Transfer,Dramatic Arts,Economics,Engineering,English,Journalism ,Law,Medicine,Music,Sociology,Veterinary Medicine,Art Education,Career and Technology Studies,Drama Education,Music Education,Social Studies Education,Art History/Museum Studies,Art Studio,Digital Audio Arts,Music Studio,New Media,New Media/Management,Performance,Technical/Design,Nursing,Public Health,Accounting,Computer Science,Finance,General Management,Human Resource Management and Labour Relations,International Management,Marketing,Political Science"
University of Manitoba-Extended Education,Public University,,Canada,Winniepeg,Manitoba,http://umanitoba.ca,Bachelor's Degree ,"Business and Management,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Creative Arts and Design,Creative Arts and Design,Engineering,Computer Science and IT,Computer Science and IT,Social Studies and Media,Health and Medicine,Health and Medicine,Social Studies and Media,Social Studies and Media,Business and Management,Engineering,Engineering,Business and Management,Social Studies and Media,Business and Management,Creative Arts and Design,Health and Medicine,Creative Arts and Design,Health and Medicine,Health and Medicine,Health and Medicine,Business and Management,Law,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Engineering,Health and Medicine,Health and Medicine,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Health and Medicine,Business and Management,Creative Arts and Design,Health and Medicine,Social Studies and Media,Social Studies and Media,Travel and Hospitality,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media","Accounting,Agriculture,Animal Systems,Art ,Art History,Civil Engineering ,Computer Engineering ,Computer Science,Criminology,Dental Hygiene,Dentistry,Drama,Drawing,Economics,Electrical Engineering ,Engineering,Entrepreneurship,Film Studies,Finance,Fine Arts,Food Science,Graphic Design,Health Sciences,Health Studies,Human Nutritional Sciences,Human Resource Management / Industrial Relations,Law,Leadership and Organizational Management,Logistics and Supply Chain Management,Management ,Management Information Systems,Marketing,Mechanical Engineering,Medicine,Pre-Medicine,Music,Music Composition,Music Education,Music History,Music Performance,Nursing,Operations Research,Painting,Pharmacy,Photography,Print Media,Recreation Management and Community Development,Sculpture,Social Work,Sociology,Theatre,Video"
University of Manitoba/International College of Manitoba,Public University,,Canada,Winniepeg,Manitoba,https://www.icmanitoba.ca,Bachelor's Degree ,"Business and Management,Humanities,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Engineering,Engineering,Engineering,Engineering,Engineering,Computer Science and IT","Economics,English,Political Studies,Sociology,Drama,Film Studies,Global Political Economy,History of Art,International Studies,Theatre,Aboriginal Business Studies,Accounting,Actuarial Mathematics,Entrepreneurship/Small Business,Finance,Generalist,Human Resource Management/ Industrial Relations,International Business,Logistics and Supply Chain Management,Management Information Systems,Management of Organizations,Marketing,Operational Management/Research,Agribusiness Management,Agricultural Economics,International Agribusiness,Biosystems Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Mechanical Engineering ,Computer Science"
University of Brunswick,Public University,,Canada,Saint John,New Brunswick,http://www.unb.ca,Bachelor's Degree ,"Business and Management,Business and Management,Business and Management,Travel and Hospitality,Computer Science and IT,Creative Arts and Design,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Computer Science and IT,Social Studies and Media,Engineering,Engineering,Engineering,Engineering,Computer Science and IT,Health and Medicine,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Business and Management,Business and Management,Humanities,Social Studies and Media,Law,Social Studies and Media,Social Studies and Media,Social Studies and Media,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Computer Science and IT,Social Studies and Media,Engineering,Engineering,Engineering,Engineering,Law,Business and Management,Health and Medicine,Travel and Hospitality,Engineering","Accounting,Electronic Commerce,General Business Studies,Hospitality and Tourism Management ,Information and Communicaton Studies,International Studies,Business Administration - Accounting,Business Administration - Economics,Business Administration - Electronic Commerce,Business Administration - Finance,Business Administration - Human Resource Management,Business Administration - Marketing,Computer Science,Education,Chemical Engineering ,Civil Engineering,Electrical Engineering,Mechanical Engineering,Information Sciences,Nursing,Applied Arts,Creative Writing,Drama,Economics Studies,Economics,English,International Development Studies,Law in Society,Media Arts and Cultures,Political Science,Sociology,Business Administration - Accounting,Business Administration - Economics,Business Administration - Entrepreneurship ,Business Administration - Finance,Business Administration - Human Resource Management,Business Administration - Internation Business,Business Administration - Logistics,Business Administration - Marketing,Computer Science,Education,Chemical Engineering ,Civil Engineering,Electrical Engineering,Mechanical Engineering,Law,Leadership Studies,Nursing,Recreation and Sport Studies,Software Engineering"
University of Ontario Institute of Technology,Public University,,Canada,Oshawa,Ontario,http://uoit.ca,Bachelor's Degree ,"Health and Medicine,Engineering,Engineering,Health and Medicine,Business and Management,Social Studies and Media,Computer Science and IT,Social Studies and Media,Computer Science and IT,Social Studies and Media,Engineering,Health and Medicine,Health and Medicine,Computer Science and IT,Computer Science and IT,Law,Engineering,Engineering,Engineering,Engineering,Health and Medicine,Health and Medicine,Social Studies and Media,Engineering","Applied Health Sciences,Applied and Industrial Mathematics,Automotive Engineering,Biological Sciences,Commerce,Communications and Digital Media Studies,Computer Science,Criminology and Justice,Data Science,Educational Studies and Digital Technology,Electrical Engineering,Heath Physics and Radiation Science,Health Science,Information Technology - Game Development and Entrepreneurship,Information Technology - Networking and Information Technology Security,Legal Studies,Manufactoring Engineering,Mechanical Engineering,Mechatronics Engineering,Nuclear Engineering,Nursing,Pharmaceutical Chemistry,Political Science,Software Engineering"
University of Ottawa,Public University,,Canada,Ottawa,Ontario,http://www.uottawa.ca/en,Bachelor's Degree Honours,",Creative Arts and Design,Engineering,Engineering,Engineering,Engineering,Engineering,Social Studies and Media,Engineering,Computer Science and IT,Computer Science and IT,Computer Science and IT,Social Studies and Media,Social Studies and Media,Social Studies and Media,Business and Management,Business and Management,Business and Management,Engineering,Business and Management,Creative Arts and Design,Creative Arts and Design,Social Studies and Media","Accounting,Entrepreneurship,Arts,Biomedical Mechanical Engineering,Biomedical Mechanical Engineering and in Computing Technology,Biomedical Science,Chemical Engineering ,Civil Engineering,Communication,Computer Engineering,Computer Science,Computer Science - Data Science,Computer Science - Management and Entrepreneurship,Criminology,Digital Humanities,Digital Journalism,Economics,Economics,Economics and Public Policy,Electrical Engineering,Finance,Fine Arts,Visual Arts,World Cinemas"
University of Prince Edward Island,Public University,,Canada,Charlottetown,Prince Edward Island,http://www.upei.ca,Bachelor's Degree ,"Creative Arts and Design,business and Management,Creative Arts and Design,Business and Management,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Travel and Hospitality,Business and Management,Social Studies and Media,Health and Medicine,Engineering,Computer Science and IT,Engineering,Health and Medicine,Engineering,Agricultural and Veterinary Medicine","Arts Seminars,Economics,Fine Arts,International Development Studies,Journalism,Music,Music Education,Political Science,Sociology,Theatre Studies,Business Administration,Accounting,Finance,International Business,Marketing,Organizational Management,Tourism and Hospitality Management,Public Administration,Education,Nursing,Biotechnology,Computer Science,Engineering,Foods and Nutrition,Sustainable Design Engineering,Veterinary Medicine"
University of Saskatchewan,Public University,,Canada,Saskatoon,Saskatchewan,https://www.usask.ca,Bachelor's Degree ,"Business and Management,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Health and Medicine,Agricultural and Veterinary Medicine,Business and Management,Creative Arts and Design,Health and Medicine,Business and Management,Social Studies and Media,Health and Medicine,Health and Medicine,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Engineering,Engineering,Engineering,Engineering,Engineering,Health and Medicine,Law,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Agricultural and Veterinary Medicine","Agribusiness,Agricultural Biology,Agricultural Economics,Animal Bioscience,Animal Science,Food and Bioproduct Sciences,Horticultural Science,Resource Economics and Policy,Art History,Biochemistry and Biotechnology,Business Economics,Drama,Food Science,Health Studies,International Studies,Music,Music and Music Education,Sociology,Studio Arts,Accounting,Finance,Human Resources,Management,Marketing,Operations Management,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Mechanical Engineering,Dentistry,Law,Medicine,Nursing,Nutrition,Pharmacy,Veterinary Medicine"
University of the Fraser Valley,Public University,,Canada,Abbotsford,British Columbia,http://www.ufv.ca,Bachelor's Degree ,"Business and Management,Business and Management,Engineering,Business and Management,Creative Arts and Design,Social Studies and Media,Business and Management,Computer Science and IT,Creative Arts and Design,Health and Medicine,Social Studies and Media,Social Studies and Media,Social Studies and Media,Architecture and Construction,Travel and Hospitality,Social Studies and Media,Business and Management,Architecture and Construction,Engineering,Humanities,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Health and Medicine,Health and Medicine,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Creative Arts and Design","Accounting,Administration,Applied and Technical Studies,Applied Business Technology,Arts,Global Development Studies,Business Administration,Computer Information Systems,Fine Arts,Nursing,Social Work,Child and Youth Care,Community Support Worker,Construction Electrician,Culinary Arts,Early Childhood Education,Economics,Electrician - Construction,Engineering,English,Fashion Design,Fine Arts,Media and Communication Studies,Music,Nursing,Practical Nursing,Social, Cultural & Media Studies,Social Work and Human Services,Sociology,Theatre,Visual Arts"
University of Toronto,Public University,,Canada,Mississauga,Ontario,https://www.utoronto.ca,Bachelor's Degree ,"Business and Management,Creative Arts and Design,Computer Science and IT,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Social Studies and Media,Business and Management,Social Studies and Media,Computer Science and IT,Social Studies and Media,Business and Management,Business and Management,Humanities,Business and Management,Business and Management,Computer Science and IT,Social Studies and Media,Business and Management,Social Studies and Media,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Business and Management,Agricultural and Veterinary Medicine,Architecture and Construction,Creative Arts and Design,Health and Medicine,Engineering,Computer Science and IT,Computer Science and IT,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Engineering,Social Studies and Media,Engineering,Business and Management,Engineering,Creative Arts and Design,Social Studies and Media,Business and Management,Social Studies and Media,Business and Management,Business and Management,Business and Management,Engineering,Engineering,Business and Management,Business and Management,Health and Medicine,Health and Medicine,Creative Arts and Design,Health and Medicine,Business and Management,Engineering,Social Studies and Media,Social Studies and Media,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Creative Arts and Design,Creative Arts and Design,Engineering,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Engineering,Social Studies and Media,Health and Medicine,Health and Medicine,Engineering,Social Studies and Media,Business and Management,Social Studies and Media,Social Studies and Media,Social Studies and Media","Accounting,Art History,Bioinformatics,Biological Chemistry,Biology for Health Sciences,Biomedical Communications,Biomedical Physics,Cinema Studies,Commerce,Communication, Culture, Information, and Technology,Computer Science,Criminology and Socio-Legal Studies,Digital Enterprise Mangement,Economics,English,Financial Economics,Human Resources Management and Industrial Relations,Information Security,Interactive Digital Media,Management,Political Science,Professional Writing and Communication,Soiology,Theatre, Drama and Performance Studies,Visual Culture,Visual Culture and Communication,Accounting,Animal Physiology,Architectural Studies,Arts Management,Biodiversity and Conservation Biology,Bioengineering,Bioinformatics,Bioinformatics and Computational Biology,Biology for Health Sciences,Biomedical Engineering ,Biomedical Physics,Biotechnology,Chemical Engineering,Cinema Studies,Civil Engineering,Commerce,Computer Engineering,Creative Writing,Criminology and Socio-Legal Studies,Digital Enterprise Mangement,Drama,Economics,Economics and Political Science,Economics for Management Studies,Electrical Engineering,Engineering Science,Finance and Economics,Financial Economics,Health and Disease,Health Studies,History of Art,Human Biology,Human Resources Management and Industrial Relations,Industrial Engineering ,Journalism,Literature and Film Studies,Management,Management and Accounting,Management and Finance,Management and Human Resources,Management and Information Technology,Management and International Business,Management and Marketing,Material Culture,Materials Engineering ,Mechanical Engineering,Media Studies,Music,Music and Culture,Music History and Culture,Nanoengineering,New Media Studies,Pharmaceutical Chemistry,Pharmacology,Robotics and Mechatronics,Soiology,Strategic Management,Studio,Theatre and Performamce Studies,Visual Studies"
University of Waterloo,Public University,,Canada,Waterloo,Ontario,https://uwaterloo.ca,Bachelor's Degree ,"Business and Management,Humanities,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Creative Arts and Design,Business and Management,Law,Social Studies and Media,Travel and Hospitality,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Travel and Hospitality,Business and Management,Business and Management,Business and Management,Business and Management,Computer Science and IT,Computer Science and IT,Business and Management,Computer Science and IT,Business and Management,Travel and Hospitality,Business and Management,Architecture and Construction,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Creative Arts and Design,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Computer Science and IT,Computer Science and IT,Computer Science and IT,Business and Management,Creative Arts and Design,Computer Science and IT,Business and Management,Business and Management,Engineering,Engineering,Health and Medicine,Health and Medicine","Economics,English,Art History and Visual Culture,Film Studies and Visual Culture,Studio Practice,Arts,Arts and Business,International Development,Legal Studies,Music,Recreation and Leisure Services,Social Development Studies,Social Work,Sociology,Speech Communication,Theatre and Performamce Studies,Tourism Development,Accounting and Financial Management,Economics,Finance,Business Administration and Computer Science,Computer Science,Computing and Financial Management,Economics,Information Technology Management,Human Resources Management,Recreation and Sport Business,Science and Business,Architecture,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Computer Science,Electrical Engineering,Fine Arts,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering,Biochemistry,Biology,Biomedical Engineering,Biomedical Sciences,International Development,Public Health,Computational Mathematics,Computer Engineering,Computer Science,Computing and Financial Management,Digital Arts Communication,Information Technology Management,Mathematical Economics,Mathematical Finance,Nanotechnology Engineering,Software Engineering,Biomedical Engineering,Biomedical Sciences"
University of Winnipeg,Public University,,Canada,Winniepeg,Manitoba,http://uwinnipeg.ca/,Bachelor's Degree ,"Law,Business and Management,Humanities,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Social Studies and Media,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Computer Science and IT","Criminology and Justice,Developmental Studies,English,History of Art,International Development,Political Science,Theatre and Film,Business Administration,Economics,Economics and Finance,Accounting,Finance,Human Resource and Management,International Business,Marketing,Applied Computer Science"
Vancouver Island University,Public University,,Canada,Nanaimo,British Columbia,https://www.viu.ca,Bachelor's Degree ,"Social Studies and Media,Creative Arts and Design,Business and Management,Creative Arts and Design,Travel and Hospitality,Creative Arts and Design,Health and Medicine,Social Studies and Media,Travel and Hospitality,Business and Management,Computer Science and IT,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Business and Management,Social Studies and Media,Social Studies and Media,Social Studies and Media,Travel and Hospitality,Health and Medicine,Business and Management,Computer Science and IT,Social Studies and Media,Social Studies and Media,Travel and Hospitality,Computer Science and IT,Social Studies and Media,Health and Medicine,Travel and Hospitality,Business and Management,Social Studies and Media,Travel and Hospitality,Creative Arts and Design","Child and Youth Care,Visual Arts,Business Administration,Graphic Design,Hospitality Management,Interior Design,Nursing,Social Work,Tourism Management,Business,Computer Science,Creative Writing,Criminology,Digital Media,Economics,Media Studies,Sociology,Child and Youth Care,Culinary Management,Dental Hygiene,Business Administration,Computer Science,Criminology,Early Childhood Education,Hospitality Management,Information Technology and Applied Systems,Music,Practical Nursing,Recreation and Sport Business,Resource Management Officer Technology,Theatre,Tourism Studies,Visual Arts"
Western University,Public University,,Canada,London,Ontario,http://welcome.uwo.ca,Bachelor's Degree ,"Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Social Studies and Media,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Health and Medicine,Health and Medicine,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Computer Science and IT,Computer Science and IT,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Law,Social Studies and Media,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management","Art History,Art History and Criticism,Creative Writing and English Language & Literature,Film Studies,Studio Arts,Theatre Studies,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Mechanical Engineering,Software Engineering,Health Science,Health Science woth Biology,Media, Information & Technoculture,Media & the Public Interest,Music,Music Composition,Music Education,Music History,Music Performance,Music Theory,Musical Arts,Music Administrative Studies,Popular Music Studies,Computer Science,Information Systems,Food Management,Food Science and Technology,Nutrtion and Dietetics,Chemical Biology,Biochemistry,Computational Biochemistry,Medical Cell Biology,Pharmacology,Criminology,Sociology,Accounting,Consumer Behavior,Finance,Human Resource Management,Public Administration"
York University,Public University,,Canada,Toronto,Ontario,http://about.yorku.ca,Bachelor's Degree ,"Health and Medicine,Health and Medicine,Business and Management,Business and Management,Business and Management,Social Studies and Media,Engineering,Business and Management,Social Studies and Media,Social Studies and Media,Computer Science and IT,Computer Science and IT,Computer Science and IT,Creative Arts and Design,Law,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Business and Management,Engineering,Engineering,Humanities,Business and Management,Business and Management,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Business and Management,Computer Science and IT,Law,Social Studies and Media,Health and Medicine,Social Studies and Media,Business and Management,Social Studies and Media,Social Studies and Media,Creative Arts and Design","Biomedical Sciences,Biotechnology,Business and Society,Business Administration,Business Economics,Cinema and Media Arts,Civil Engineering,Commerce,Communication Studies,Community Arts Practice,Computational Mathematics,Computer Science,Computer Security,Creative Writing,Criminology,Culture and Expression,Dance,Design,Digital Media,Drama Studies,Economics,Electrical Engineering,Engineering and International Development,English,Financial and Business Economics,Financial Planning,Health and Society,Health Informatics,Health Serviecs Financial Management,Health Studies,Human Resource Management,Information Technology,Law and Society,Music,Nursing,Political Science,Public Administration,Sociology,Theatre,Visual Arts and Arts History"
Arbutus College,Career College,,Canada,Vancouver,British Columbia,http://www.canadian-universities.net/Career-Colleges/Arbutus_College.html,Certificate,"Business and Management,Business and Management,Business and Management,Business and Management,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Travel and Hospitality","Business Management,Business Management,Business Management Foundation,Business Management,Communication Arts,Communication Arts Foundation,Communication Arts,Graphics andd Web Page Design,Business Specializations,International Trade,International Trade,International Trade Foundations,International Trade,Marketing,Marketing,Marketing Foundations,Marketing,Marketing Internship,Office Administration,Office Administration,Office Administration,Business,Hotel Management"
Art Institute of Toronto,Career College,,Canada,Vancouver,British Columbia,http://www.canadian-universities.net/Career-Colleges/Art_Institute_of_Toronto.html,Diploma,"Travel and Hospitality,Creative Arts and Design,Creative Arts and Design,Social Studies and Media","Culinary Arts ,Design ,Fashion ,Media Arts"
Blanche Macdonald Centre,Career College,,Canada,Vancouver,British Columbia,http://www.canadian-universities.net/Career-Colleges/Blanche_Macdonald_Centre.html,Diploma,"Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Personal Care and Fitness,Personal Care and Fitness,Personal Care and Fitness,Personal Care and Fitness,Personal Care and Fitness,Personal Care and Fitness,Personal Care and Fitness,Personal Care and Fitness,Personal Care and Fitness,Social Studies and Media,Creative Arts and Design,Creative Arts and Design","Advertising Procedure,Art and Technology,Art and Technology Portfolio Presentations,Business Entrepreneurship,Cosmetic Retailing,Design Awareness,Design Collection,Effective Communications,Fashion Awareness,Fashion Elements,Fashion History,Fashion Illustration,Fashion Merchandising,Fashion Promotion and Marketing,Fashion Show and Event Production,Fashion Styling,Fashion Wholesaling,Film Orientation,Garment Construction,Hair for Bridal and Fashion,Hair for Stage, TV and Film,Make-up for Fashion ,Make-up for Prosthetics ,Make-up for Special Effects ,Make-up for Stage, TV & Film ,Make-up Fundamentals ,Marketing Essentials ,Nail Trends ,Public Relations and Event Management,Textile and Fabrics,Visual Merchandising"
